B040002,I050003,Z118017,Z118018,Z118013,B050013
342719443,9002,False,False,0.0076,1517349677
786789205,9002,False,False,0.0075,1517374994
497389858,9002,False,False,0.0074,1517360873
2771741847,9002,False,False,0.0074,1517338052
1484729479,9002,False,False,0.0065,1517314450
1004068298,9002,False,False,0.0064,1517297673
1226890799,9002,False,False,0.0062,1517307040
785322959,9001,False,False,0.0054,1517341146
369664516,9003,False,False,0.0052,1517342055
576770181,9001,False,False,0.0051,1517335197
915992549,9002,False,False,0.005,1517380097
864674124,9002,False,False,0.005,1517378279
1062186473,9001,False,False,0.0049,1517299046
1304823792,9003,False,False,0.0048,1517306666
745767787,9002,False,False,0.0047,1517372211
346869340,9001,False,False,0.0047,1517327203
799121244,9003,False,False,0.0045,1517359607
949151012,9002,False,False,0.0045,1517382264
925017897,9002,False,False,0.0045,1517380761
271440688,9002,False,False,0.0043,1517335679
1960868808,1700,False,False,0.0043,1517303385
155362136,9002,False,False,0.0043,1517316091
54201565,9003,False,False,0.0038,1517350497
664665508,9002,False,False,0.0038,1517369972
748470406,9002,False,False,0.0037,1517372486
645253299,9001,False,False,0.0037,1517337555
85808911,9002,False,False,0.0036,1517377917
1301208696,9002,False,False,0.0036,1517309331
1159781924,9002,False,False,0.0035,1517304327
396954055,9002,False,False,0.0034,1517354182
1419109890,9001,False,False,0.0032,1517304555
1113406082,9001,False,False,0.0031,1517299781
1805620617,9001,False,False,0.0028,1517308077
1216734273,9002,False,False,0.0027,1517306666
2323792485,9002,False,False,0.0027,1517328045
1421289598,1700,False,False,0.0025,1517300053
254988949,9003,False,False,0.0022,1517325543
7894154,9002,False,False,0.0022,1517375238
1106000501,9003,False,False,0.002,1517300991
112955461,9001,False,False,0.0019,1517300177
2227163786,9001,False,False,0.0019,1517311870
361255395,1700,False,False,0.0017,1517310466
942046165,9001,False,False,0.0017,1517346494
1744902185,1700,False,False,0.0016,1517302312
577648788,9002,False,False,0.0014,1517365768
2576467323,9002,False,False,0.0013,1517333192
741867923,9003,False,False,0.0013,1517357114
1130254294,9002,False,False,0.0011,1517302839
1229976695,9003,False,False,0.001,1517304978
1478175861,1700,False,False,0.0008,1517300839
2821831669,9003,False,False,0.0007,1517330424
1017408178,1700,False,False,0.0007,1517297709
2462576303,9003,False,False,0.0004,1517323985
474486,1700,False,False,0.0004,1517311618
412086459,9001,False,False,0.0003,1517330424
2673786178,9001,False,False,0.0003,1517317023
85830117,9001,False,False,0.0003,1517343976
381186089,9001,False,False,0.0003,1517328929
961358929,9002,False,False,0.0003,1517382918
2290689204,1700,False,False,0.0003,1517304596
751483919,9002,False,False,0.0002,1517372772
872173525,1700,False,False,0.0002,1517314450
532381232,1700,False,False,0.0001,1517312151
3246808385,9001,False,False,0.0001,1517324847
977594728,1700,False,False,0.0001,1517315401
839081336,9003,False,False,0.0,1517362262
418972600,1700,False,False,0.0,1517310987
1426340844,1700,False,False,0.0,1517300356
